sample,time_s,ringIndex,ringId,surfaceValid,surfaceType,couplingQuality,distance_m,normalX,normalY,normalZ,phaseAttractionN,phaseRepulsionN,phaseDampingN,phaseTotalN,thrusterAssistN,manualThrusterN,automaticThrusterN,requestWorldX,requestWorldY,requestWorldZ,requestLocalX,requestLocalY,requestLocalZ,appliedWorldX,appliedWorldY,appliedWorldZ,appliedLocalX,appliedLocalY,appliedLocalZ,targetGimbalWorldX,targetGimbalWorldY,targetGimbalWorldZ,targetGimbalLocalX,targetGimbalLocalY,targetGimbalLocalZ,gimbalWorldX,gimbalWorldY,gimbalWorldZ,gimbalLocalX,gimbalLocalY,gimbalLocalZ,gimbalDeflection_deg,gimbalTargetError_deg,directionalAgreement01,reserveOutputScale,gimbalAtLimit,thrusterForceLimited,usingReserve,reserveDrainRate,reserveRechargeRate,couplingDemand01
6,0.0614,0,PVR_FrontLeft,1,ResonantRace,1.000,2.798,-0.1140,0.9935,-0.0081,0.0,28209.3,197.2,28209.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.067
6,0.0614,1,PVR_FrontRight,1,ResonantRace,1.000,2.803,-0.1140,0.9935,-0.0081,0.0,26211.3,84.6,26211.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.062
6,0.0614,2,PVR_RearLeft,1,ResonantRace,1.000,2.803,-0.1220,0.9925,0.0000,0.0,26229.1,103.5,26229.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.062
6,0.0614,3,PVR_RearRight,1,ResonantRace,1.000,2.798,-0.1221,0.9925,0.0000,0.0,27361.5,-7.3,27361.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.065
8,0.0814,0,PVR_FrontLeft,1,ResonantRace,1.000,2.798,-0.1220,0.9925,-0.0081,0.0,26624.3,-85.2,26624.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.063
8,0.0814,1,PVR_FrontRight,1,ResonantRace,1.000,2.803,-0.1140,0.9935,-0.0081,0.0,25826.8,16.9,25826.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.061
8,0.0814,2,PVR_RearLeft,1,ResonantRace,1.000,2.803,-0.1220,0.9925,0.0000,0.0,25249.9,-209.2,25249.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.060
8,0.0814,3,PVR_RearRight,1,ResonantRace,1.000,2.798,-0.1221,0.9925,0.0000,0.0,26438.2,-266.6,26438.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.063
10,0.1014,0,PVR_FrontLeft,1,ResonantRace,1.000,2.798,-0.1140,0.9935,-0.0081,0.0,27332.0,-60.3,27332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.065
10,0.1014,1,PVR_FrontRight,1,ResonantRace,1.000,2.803,-0.1140,0.9935,0.0000,0.0,26553.1,115.6,26553.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,-0.1186,0.9929,-0.0035,0.0000,1.0000,0.0000,0.00,0.00,0.0000,1.0000,0,0,0,0.000,0.000,0.063
