# thruster table: 0=Hover_FL; 1=Roof_FL; 2=Hover_FR; 3=Roof_FR; 4=Hover_RL; 5=Roof_RL; 6=Hover_RR; 7=Roof_RR; 8=Main_Rear; 9=Brake_Front; 10=Strafe_Front_Left; 11=Strafe_Back_Left; 12=Strafe_Front_Right; 13=Strafe_Back_Right
sample,time_s,thruster,reqThrottle,finalThrottle,appliedThrottle,forceN,reqPower,grantedPower,power01,ceiling,saturated,mountDirX,mountDirY,mountDirZ,targetDirX,targetDirY,targetDirZ,forceDirX,forceDirY,forceDirZ,gimbalAngle_deg
6,0.0614,5,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
6,0.0614,6,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
6,0.0614,7,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
6,0.0614,8,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.0196,0.0058,0.9998,0.0196,0.0058,0.9998,0.0196,0.0058,0.9998,0.00
6,0.0614,9,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.0196,-0.0058,-0.9998,-0.0196,-0.0058,-0.9998,-0.0196,-0.0058,-0.9998,0.00
6,0.0614,10,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.9928,0.1185,-0.0201,0.9928,0.1185,-0.0201,0.9928,0.1185,-0.0201,0.00
6,0.0614,11,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.9928,0.1185,-0.0201,0.9928,0.1185,-0.0201,0.9928,0.1185,-0.0201,0.00
6,0.0614,12,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.9928,-0.1185,0.0201,-0.9928,-0.1185,0.0201,-0.9928,-0.1185,0.0201,0.00
6,0.0614,13,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.9928,-0.1185,0.0201,-0.9928,-0.1185,0.0201,-0.9928,-0.1185,0.0201,0.00
8,0.0814,0,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
8,0.0814,1,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
8,0.0814,2,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
8,0.0814,3,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
8,0.0814,4,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
8,0.0814,5,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
8,0.0814,6,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
8,0.0814,7,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
8,0.0814,8,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.0196,0.0058,0.9998,0.0196,0.0058,0.9998,0.0196,0.0058,0.9998,0.00
8,0.0814,9,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.0196,-0.0058,-0.9998,-0.0196,-0.0058,-0.9998,-0.0196,-0.0058,-0.9998,0.00
8,0.0814,10,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.9928,0.1185,-0.0202,0.9928,0.1185,-0.0202,0.9928,0.1185,-0.0202,0.00
8,0.0814,11,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.9928,0.1185,-0.0202,0.9928,0.1185,-0.0202,0.9928,0.1185,-0.0202,0.00
8,0.0814,12,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.9928,-0.1185,0.0202,-0.9928,-0.1185,0.0202,-0.9928,-0.1185,0.0202,0.00
8,0.0814,13,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.9928,-0.1185,0.0202,-0.9928,-0.1185,0.0202,-0.9928,-0.1185,0.0202,0.00
10,0.1014,0,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
10,0.1014,1,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,0.1186,-0.9929,0.0035,0.1186,-0.9929,0.0035,0.1183,-0.9930,0.0000,0.20
10,0.1014,2,0.0000,0.0000,0.0000,0.0,0.00,0.00,1.000,1.00,0,-0.1186,0.9929,-0.0035,-0.1186,0.9929,-0.0035,-0.1183,0.9930,0.0000,0.20
